owner,repo,owner_type,created_at,pushed_at,license_spdx,default_branch,stars_now,forks,open_issues,watchers,topics_json,readme_len,has_releases
pi22by7,in-memoria,User,2025-08-16T06:53:05Z,2025-08-25T12:31:13Z,MIT,main,39,3,0,2,[],9809,False
inshinrei,halua,User,2025-06-24T14:54:51Z,2025-08-20T19:31:18Z,MIT,main,13,0,1,0,[],326,True
xrip,pico-286,User,2024-09-16T16:01:14Z,2025-08-28T20:55:41Z,MIT,master,202,10,1,4,"[""286"", ""adlib"", ""cga"", ""cms"", ""emulator"", ""pc"", ""rp2040"", ""rp2350"", ""sound-blaster"", ""tandy"", ""tga"", ""vga""]",22627,True
clemenselflein,openmower,User,2022-01-26T15:24:24Z,2025-05-09T09:47:29Z,NOASSERTION,main,5786,339,25,232,"[""raspberry-pi"", ""arduino"", ""robot"", ""robotics"", ""gps"", ""ros"", ""rtk"", ""path-finding"", ""robomow"", ""lawn-mower"", ""landscaping""]",9607,True
usestrix,strix,Organization,2025-08-05T21:28:30Z,2025-08-19T12:08:41Z,Apache-2.0,main,547,53,2,12,[],5052,False
tiny-tpu-v2,tiny-tpu,Organization,2025-05-19T19:30:00Z,2025-08-21T16:53:52Z,,main,825,57,0,12,[],10767,False
jgbrwn,retro-computing-stream,User,2025-04-10T01:56:33Z,2025-04-10T02:38:25Z,MIT,main,3,0,0,1,[],0,False
epicenter-so,epicenter,Organization,2023-03-16T05:55:09Z,2025-08-28T20:53:58Z,MIT,main,2912,170,109,11,"[""svelte"", ""sveltekit"", ""tailwindcss"", ""tauri""]",8082,True
cvilsmeier,go-sqlite-bench,User,2020-06-14T17:26:50Z,2025-08-23T14:17:06Z,Unlicense,master,500,9,0,6,"[""golang"", ""sqlite""]",8515,False
gibsonai,memori,Organization,2025-07-24T07:07:51Z,2025-08-26T08:50:27Z,NOASSERTION,main,251,21,14,4,"[""agent"", ""ai"", ""long-short-term-memory"", ""memory"", ""python"", ""rag"", ""aiagent"", ""chatgpt"", ""state-management"", ""memori-ai"", ""memory-management"", ""llm""]",13785,True
wieslawsoltes,hackernewswatch,User,2025-08-17T22:27:28Z,2025-08-19T11:06:59Z,,main,61,2,0,0,"[""applewatch"", ""hackernews"", ""swift"", ""swiftui"", ""watchos""]",1515,False
ffmpeg,asm-lessons,Organization,2024-12-28T19:50:54Z,2025-08-08T08:36:11Z,,main,9030,271,21,146,[],939,False
awslabs,mcp,Organization,2025-03-21T00:39:00Z,2025-08-29T04:03:13Z,Apache-2.0,main,6111,810,189,56,"[""aws"", ""mcp"", ""mcp-client"", ""mcp-clients"", ""mcp-host"", ""mcp-server"", ""mcp-servers"", ""mcp-tools"", ""modelcontextprotocol""]",164910,True
xyflow,strudel-flow,Organization,2025-07-07T07:47:34Z,2025-08-28T10:21:07Z,AGPL-3.0,main,98,4,5,0,"[""react-flow"", ""strudel""]",6134,False
