hn_id,time_utc,title,url,resolved_url,score,descendants,is_show_hn,author
44921674,2025-08-16T09:22:34+00:00,DBCrust – A modern database CLI,https://github.com/clement-tourriere/dbcrust,https://github.com/clement-tourriere/dbcrust,28,19,False,kelem
44921467,2025-08-16T08:43:19+00:00,Guile bindings for Sway window manager,https://github.com/ebeem/guile-swayer,https://github.com/ebeem/guile-swayer,77,9,False,ducktective
44916908,2025-08-15T20:23:09+00:00,Deploy Production-Ready Kubernetes on Hetzner Cloud,https://github.com/hcloud-k8s/terraform-hcloud-kubernetes,https://github.com/hcloud-k8s/terraform-hcloud-kubernetes,18,1,False,SweetSoftPillow
44915220,2025-08-15T17:39:02+00:00,Show HN: JMAP MCP – Email for your agents,https://github.com/wyattjoh/jmap-mcp,https://github.com/wyattjoh/jmap-mcp,55,11,True,wyattjoh
44913930,2025-08-15T15:54:35+00:00,Show HN: A Provably Zero Trust VPN,https://github.com/vpdotnet/vpnetd-sgx,https://github.com/vpdotnet/vpnetd-sgx,10,2,True,rasengan
44911653,2025-08-15T12:42:25+00:00,Libgit2 – The Git Linkable Library,https://github.com/libgit2/libgit2,https://github.com/libgit2/libgit2,11,1,False,tzury
44911560,2025-08-15T12:31:54+00:00,Vaultwarden commit introduces SSO using OpenID Connect,https://github.com/dani-garcia/vaultwarden/pull/3899,https://github.com/dani-garcia/vaultwarden/pull/3899,186,98,False,speckx
44910671,2025-08-15T10:35:59+00:00,Show HN: PgHook – Docker image that streams PostgreSQL row changes to webhooks,https://github.com/PgHookCom/PgHook,https://github.com/PgHookCom/PgHook,39,5,True,enadzan
44909599,2025-08-15T07:37:13+00:00,Should we remove XSLT from the web platform?,https://github.com/whatwg/html/issues/11523,https://github.com/whatwg/html/issues/11523,73,96,False,edent
44906985,2025-08-14T23:36:46+00:00,Nvidia Tilus: A Tile-Level GPU Kernel Programming Language,https://github.com/NVIDIA/tilus,https://github.com/NVIDIA/tilus,93,48,False,ashvardanian
